Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",149.540000,-124.000000,90.000000,top
"C2","0.1u","C_0603_1608Metric",137.460000,-123.787500,90.000000,top
"C3","C","C_0603_1608Metric",139.500000,-113.000000,90.000000,top
"FB1","330ohm@100MHz","L_0805_2012Metric",142.850000,-124.980000,180.000000,top
"FB2","330ohm@100MHz","L_0805_2012Metric",142.820000,-114.470000,0.000000,top
"FL1","67ohm@100MHz","L_CommonModeChoke_Coilcraft_0805USB",131.150000,-134.860000,0.000000,top
"FL2","120ohm@100MHz","L_CommonModeChoke_Coilcraft_0805USB",137.940000,-134.860000,0.000000,top
"FL3","260ohm@100MHz","L_CommonModeChoke_Coilcraft_0805USB",144.580000,-134.860000,0.000000,top
"FL4","490ohm@100MHz","L_CommonModeChoke_Coilcraft_0805USB",151.190000,-134.860000,0.000000,top
"FL5","920ohm@100MHz","L_CommonModeChoke_Coilcraft_0805USB",157.700000,-134.680000,0.000000,top
"R1","R","R_0603_1608Metric",137.500000,-113.000000,90.000000,top
